id_est;cod_param;altura;id_reg
201;PM25;;III
205;0001;;III
205;0002;;III
205;0003;;III
205;0004;;III
205;0008;;III
205;PM10;;III
205;PM25;;III
205;WDIR;10;III
205;WSPD;10;III
175;0001;;III
175;0002;;III
175;0003;;III
175;PM10;;III
175;PM25;;III
163;0001;;III
163;GLOB;12;III
163;GLOB;2;III
163;GLOB;;III
163;PRES;2;III
163;PRES;12;III
163;PRES;;III
163;RAIN;12;III
163;RAIN;;III
163;RAIN;2;III
163;RHUM;2;III
163;RHUM;;III
163;RHUM;12;III
163;TEMP;12;III
163;TEMP;;III
163;TEMP;2;III
163;WDIR;10;III
163;WDIR;;III
163;WDIR;12;III
163;WSPD;;III
163;WSPD;12;III
163;WSPD;10;III
179;0001;;III
179;0002;;III
179;0003;;III
179;0008;;III
179;0NOX;;III
179;WDIR;10;III
179;WSPD;10;III
243;0001;;III
192;0001;;III
252;0001;;III
214;0001;;III
214;WDIR;10;III
214;WDIR;12;III
214;WSPD;10;III
214;WSPD;12;III
121;0001;;III
224;0001;;III
224;PM10;;III
224;WDIR;10;III
224;WSPD;10;III
40;0001;;III
171;PM10;;IV
171;GLOB;3;IV
171;GLOB;2;IV
171;PRES;2;IV
171;PRES;3;IV
171;RHUM;3;IV
171;RHUM;2;IV
171;TEMP;10;IV
171;TEMP;2;IV
171;WDIR;10;IV
171;WSPD;10;IV
156;PM10;;IV
156;WDIR;10;IV
156;WSPD;10;IV
150;PM10;;IV
150;WDIR;10;IV
150;WSPD;10;IV
268;PM10;;IV
268;GLOB;3;IV
268;PRES;3;IV
268;RAIN;4;IV
268;RHUM;3;IV
268;TEMP;10;IV
268;WDIR;10;IV
268;WSPD;10;IV
148;PM10;;IV
148;WDIR;10;IV
148;WSPD;10;IV
194;PM25;;IV
194;GLOB;3;IV
194;RHUM;3;IV
194;TEMP;10;IV
194;WDIR;10;IV
194;WSPD;10;IV
95;PM25;;IV
95;GLOB;3;IV
95;RHUM;3;IV
95;TEMP;10;IV
95;WDIR;10;IV
95;WSPD;10;IV
32;PM10;;IV
32;WDIR;;IV
32;WSPD;;IV
9;PM10;;IV
9;WDIR;;IV
9;WSPD;;IV
15;PM10;;IV
15;WDIR;;IV
15;WSPD;;IV
144;PM10;;IV
144;WDIR;;IV
144;RHUM;;IV
144;RAIN;;IV
144;PRES;;IV
144;TEMP;;IV
144;WSPD;;IV
257;PM10;;IV
257;PM25;;IV
257;GLOB;2;IV
257;GLOB;3;IV
257;PRES;2;IV
257;PRES;3;IV
257;RHUM;3;IV
257;RHUM;2;IV
257;TEMP;2;IV
257;TEMP;10;IV
257;WDIR;10;IV
257;WSPD;10;IV
8;PM10;;IV
137;PM10;;IV
16;PM10;;IV
16;WDIR;;IV
16;WSPD;;IV
17;PM10;;IV
13;0001;;V
13;0002;;V
13;0003;;V
13;0004;;V
13;0008;;V
13;0CH4;;V
13;0NOX;;V
13;NMHC;;V
13;PM10;;V
13;THCM;;V
13;WDIR;;V
13;WSPD;;V
7;0001;;V
7;0002;;V
7;0003;;V
7;0008;;V
7;PM10;;V
7;NMHC;;V
7;THCM;;V
7;00Pb;;V
7;WDIR;10;V
7;WSPD;10;V
145;0001;;V
145;0002;;V
145;0003;;V
145;0008;;V
145;0CH4;;V
145;PM10;;V
145;NMHC;;V
145;THCM;;V
145;00Pb;;V
145;GLOB;2;V
145;PRES;2;V
145;RAIN;2;V
145;RHUM;2;V
145;TEMP;2;V
145;WDIR;10;V
145;WSPD;10;V
165;0001;;V
165;PM10;;V
165;WDIR;10;V
165;WSPD;10;V
131;0001;;V
131;GLOB;10;V
131;GLOB;30;V
131;GLOB;6;V
131;PRES;8;V
131;PRES;4;V
131;PRES;30;V
131;RAIN;4;V
131;RHUM;30;V
131;RHUM;4;V
131;TEMP;30;V
131;TEMP;6;V
131;WDIR;30;V
131;WDIR;10;V
131;WSPD;10;V
131;WSPD;30;V
253;0001;;V
253;WDIR;6;V
253;WDIR;10;V
253;WDIR;30;V
253;WSPD;6;V
253;WSPD;10;V
253;WSPD;30;V
132;0001;;V
132;WDIR;18;V
132;WDIR;30;V
132;WDIR;2;V
132;WDIR;6;V
132;WDIR;10;V
132;WSPD;10;V
132;WSPD;30;V
132;WSPD;6;V
132;WSPD;18;V
202;PM25;;V
202;RHUM;3;V
202;TEMP;3;V
202;WDIR;10;V
202;WSPD;10;V
177;0001;;V
177;0002;;V
177;0003;;V
177;0004;;V
177;0008;;V
177;0CH4;;V
177;0NOX;;V
177;NMHC;;V
177;PM10;;V
177;THCM;;V
177;ARSE;;V
177;00Ni;;V
177;PM25;;V
177;00Pb;;V
177;GLOB;;V
177;PRES;;V
177;RAIN;;V
177;RHUM;;V
177;TEMP;;V
177;WDIR;10;V
177;WSPD;10;V
185;0001;;V
185;0002;;V
185;0003;;V
185;0004;;V
185;0008;;V
185;0CH4;;V
185;0NOX;;V
185;NMHC;;V
185;PM10;;V
185;PM25;;V
185;THCM;;V
185;00Ni;;V
185;ARSE;;V
185;00Pb;;V
185;GLOB;;V
185;GLOB;2;V
185;PRES;;V
185;RAIN;;V
185;RHUM;2;V
185;RHUM;;V
185;TEMP;2;V
185;TEMP;;V
185;WDIR;;V
185;WDIR;10;V
185;WSPD;;V
185;WSPD;10;V
89;0001;;V
89;0004;;V
89;0CH4;;V
89;NMHC;;V
89;PM10;;V
89;THCM;;V
89;00Pb;;V
89;ARSE;;V
89;00Ni;;V
89;PM25;;V
89;0003;;V
89;0002;;V
89;0NOX;;V
89;0008;;V
89;GLOB;;V
89;PRES;;V
89;RAIN;;V
89;RHUM;;V
89;TEMP;;V
89;WDIR;;V
89;WDIR;10;V
89;WSPD;10;V
193;0001;;V
193;0004;;V
193;0CH4;;V
193;NMHC;;V
193;PM10;;V
193;THCM;;V
193;ARSE;;V
193;00Pb;;V
193;00Ni;;V
193;PM25;;V
193;0003;;V
193;0002;;V
193;0NOX;;V
193;0008;;V
193;GLOB;;V
193;PRES;;V
193;RAIN;;V
193;RHUM;;V
193;TEMP;;V
193;WDIR;10;V
193;WSPD;10;V
140;0001;;V
140;PM10;;V
140;00Pb;;V
140;WDIR;10;V
140;WSPD;10;V
14;0001;;V
14;0008;;V
14;PM10;;V
14;WDIR;10;V
14;WSPD;10;V
266;0002;;V
266;0003;;V
266;0008;;V
266;0NOX;;V
266;PM10;;V
266;PM25;;V
266;RHUM;4;V
266;RHUM;2;V
266;TEMP;4;V
266;TEMP;2;V
266;TEMP;;V
266;WDIR;10;V
266;WDIR;;V
266;WDIR;12;V
266;WSPD;;V
266;WSPD;12;V
266;WSPD;10;V
210;0001;;V
210;PM10;;V
210;WDIR;6;V
210;WDIR;10;V
210;WDIR;30;V
210;WSPD;30;V
210;WSPD;6;V
210;WSPD;10;V
182;0001;;V
182;0002;;V
182;0003;;V
182;0004;;V
182;0008;;V
182;0CH4;;V
182;0NOX;;V
182;NMHC;;V
182;PM10;;V
182;THCM;;V
182;PM25;;V
182;GLOB;2;V
182;GLOB;10;V
182;GLOB;30;V
182;RHUM;2;V
182;RHUM;3;V
182;TEMP;2;V
182;TEMP;10;V
182;WDIR;10;V
182;WSPD;10;V
200;0001;;V
200;0002;;V
200;0003;;V
200;0008;;V
200;0NOX;;V
200;PM10;;V
200;PM25;;V
200;0004;;V
200;ARSE;;V
200;00Pb;;V
200;00Cu;;V
200;WDIR;;V
200;WDIR;10;V
200;WSPD;;V
200;WSPD;10;V
278;0001;;V
278;0002;;V
278;0003;;V
278;0008;;V
278;0NOX;;V
278;PM10;;V
278;PM25;;V
278;WDIR;;V
278;WDIR;10;V
278;WSPD;;V
278;WSPD;10;V
136;0001;;V
136;0002;;V
136;0003;;V
136;0004;;V
136;0008;;V
136;0CH4;;V
136;0NOX;;V
136;NMHC;;V
136;PM10;;V
136;PM25;;V
136;THCM;;V
136;ARSE;;V
136;00Pb;;V
136;00Cu;;V
136;WDIR;;V
136;WDIR;10;V
136;WSPD;;V
136;WSPD;10;V
188;0001;;V
188;0002;;V
188;0003;;V
188;0008;;V
188;0CH4;;V
188;0NOX;;V
188;NMHC;;V
188;PM10;;V
188;PM25;;V
188;THCM;;V
188;00Pb;;V
188;00Cu;;V
188;00Ni;;V
188;ARSE;;V
188;WDIR;10;V
188;WSPD;10;V
109;GLOB;2;V
109;GLOB;20;V
109;PRES;2;V
109;PRES;20;V
109;RAIN;20;V
109;RAIN;2;V
109;RHUM;40;V
109;RHUM;20;V
109;RHUM;10;V
109;RHUM;2;V
109;TEMP;40;V
109;TEMP;2;V
109;TEMP;10;V
109;TEMP;20;V
109;WDIR;10;V
109;WDIR;20;V
109;WDIR;40;V
109;WSPD;10;V
109;WSPD;20;V
109;WSPD;40;V
109;SOL;;V
73;0002;;V
73;0003;;V
73;0008;;V
73;0CH4;;V
73;0NOX;;V
73;NMHC;;V
73;PM10;;V
73;THCM;;V
73;TEMP;2;V
73;WDIR;10;V
73;WSPD;10;V
141;0001;;V
141;0002;;V
141;0003;;V
141;0004;;V
141;0008;;V
141;0CH4;;V
141;0NOX;;V
141;NMHC;;V
141;PM10;;V
141;PM25;;V
141;THCM;;V
141;WDIR;10;V
141;WSPD;10;V
142;0001;;V
142;0002;;V
142;0003;;V
